"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT04333550","Application of Desferal to Treat COVID-19",,"Recruiting","No Results Available","COVID-19","Drug: Deferoxamine","Mortality rate|change in patients clinical manifestation|change in patients PaO2|Length of hospitalization|C-reactive protein|lymphocyte count|length of intensive care unit stay","Kermanshah University of Medical Sciences","All","3 Years to 99 Years   (Child, Adult, Older Adult)","Phase 1|Phase 2","50","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","1398.1224","April 2020","September 2020","March 2021","April 3, 2020",,"April 6, 2020","Regenerative Medicine Research Center, Kermanshah University of Medical Sciences, Kermanshah, Iran, Kermanshah, Iran, Islamic Republic of",,"https://ClinicalTrials.gov/show/NCT04333550"
2,"NCT04336904","Clinical Study To Evaluate The Performance And Safety Of Favipiravir in COVID-19",,"Active, not recruiting","No Results Available","COVID-19","Drug: Favipiravir|Other: Placebo","Time from randomization to clinical recovery|Time from randomization to negativity in RT-PCR nucleic acid test|Incidence of deterioration/aggravation of pneumonia|Time from randomization to resolution of pyrexia|Time from randomization to relief of cough|Time from randomization to relief of dyspnoea|Rate of auxiliary oxygen therapy|ICU admission rate|Mortality","Giuliano Rizzardini|ASST Fatebenefratelli Sacco","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 3","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment","HS216C17-PHASE III","March 25, 2020","July 2020","July 2020","April 7, 2020",,"April 8, 2020","Asst Fatebenefratelli Sacco, Milano, Italy",,"https://ClinicalTrials.gov/show/NCT04336904"
3,"NCT04331509","COVID-19 Symptom Tracker",,"Recruiting","No Results Available","COVID-19","Other: No Intervention","Physical health symptoms|Lack of physical health symptoms|Fever","King's College London|Zoe Global Limited|Massachusetts General Hospital|Harvard School of Public Health|Stanford University","All","18 Years and older   (Adult, Older Adult)",,"10000000","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","COVID-19 Symptom tracker","March 23, 2020","March 23, 2022","March 23, 2022","April 2, 2020",,"April 7, 2020","Massachusetts General Hospital, Boston, Massachusetts, United States|King's College London, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04331509"
4,"NCT04333407","Preventing Cardiac Complication of COVID-19 Disease With Early Acute Coronary Syndrome Therapy: A Randomised Controlled Trial.","C-19-ACS","Not yet recruiting","No Results Available","COVID-19","Drug: Aspirin 75mg|Drug: Clopidogrel 75mg|Drug: Rivaroxaban 2.5 MG|Drug: Atorvastatin 40mg|Drug: Omeprazole 20mg","All-cause mortality at 30 days after admission|Absolute change in serum troponin from admission to peak value|Discharge Rate|Intubation Rate","Imperial College London","All","18 Years to 85 Years   (Adult, Older Adult)","Not Applicable","3170","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20HH5868","March 31, 2020","March 30, 2021","March 30, 2021","April 3, 2020",,"April 7, 2020",,,"https://ClinicalTrials.gov/show/NCT04333407"
5,"NCT04291053","The Efficacy and Safety of Huai er in the Adjuvant Treatment of COVID-19",,"Not yet recruiting","No Results Available","COVID-19","Drug: Huaier Granule","Mortality rate|Clinical status assessed according to the official guideline|The differences in oxygen intake methods|Duration (days) of supplemental oxygenation|Duration (days) of mechanical ventilation|The mean PaO2/FiO2|Length of hospital stay (days)|Length of ICU stay (days)|Pulmonary function","Tongji Hospital","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2|Phase 3","550","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TJ-IRB20200205","April 1, 2020","August 1, 2020","September 1, 2020","March 2, 2020",,"March 17, 2020",,,"https://ClinicalTrials.gov/show/NCT04291053"
6,"NCT04336462","Hydrogen-Oxygen Generator With Nebulizer in the Improvement of Symptoms in Patients Infected With COVID-19","COVID-19","Recruiting","No Results Available","COVID-19","Device: oxyhydrogen|Device: Oxygen","Recovery time|Clinical Symptom Remission time|fever duration|Leicester cough questionaire (LCQ)|minimum oxygen|Negative conversion rate|white blood cell(WBC)|Red blood cells(RBC)|Hemoglobin(Hb )|Platelets(PLT)|Lymphocyte count|The percentage of lymphocyte|neutrophils|C-reactive protein (CRP)|Myocardial enzyme|liver function|Renal function|Muscle enzyme","Shanghai Asclepius Meditec Inc.|Shanghai Public Health Clinical Center|Henan Provincial People's Hospital|Shenzhen Third People's Hospital|The First People's Hospital of Yunnan|Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine|Shanghai 6th People's Hospital|Guangdong Provincial Hospital of Traditional Chinese Medicine","All","18 Years to 85 Years   (Adult, Older Adult)","Not Applicable","100","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","JT202002LZ","February 15, 2020","February 21, 2020","August 1, 2020","April 7, 2020",,"April 7, 2020","First Affiliated Hospital of Guangzhou Medical University, Guangzhou, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT04336462"
7,"NCT04324489","DAS181 for Severe COVID-19: Compassionate Use",,"Recruiting","No Results Available","COVID-19","Drug: DAS181","Improved clinical status|Return to room air|SARS-CoV-2 RNA|Discharge|Death","Renmin Hospital of Wuhan University|Ansun Biopharma, Inc.","All","18 Years to 70 Years   (Adult, Older Adult)","Not Applicable","4","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","DAS181-SARS-CoV-2","March 6, 2020","April 25, 2020","April 30, 2020","March 27, 2020",,"April 2, 2020","Renmin Hospital of Wuhan University, Wuhan, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04324489"
8,"NCT04323228","Anti-inflammatory/Antioxidant Oral Nutrition Supplementation in COVID-19","ONSCOVID19","Not yet recruiting","No Results Available","COVID-19","Dietary Supplement: oral nutrition supplement (ONS) enriched in eicosapentaenoic acid, gamma-linolenic acid and antioxidants|Dietary Supplement: isocaloric/isonutrigenous ONS","Change from baseline score of Nutrition risk screening-2002 (NRS-2002) at end of the trial|Change from baseline Serum ferritin level at end of the trial|Change from baseline serum Interleukin-6 concentration at end of the trial|Change from baseline serum C-reactive protein concentration at end of the trial|Change from baseline serum Tumor necrosis factor-α concentration at end of the trial|Change from baseline serum monocyte chemoattractant protein 1 (MCP-1) at end of the trial|Change from baseline Weight at end of the trial|Height|Change from baseline BMI at end of the trial|Change from baseline mid arm circumference at end of the trial|Change from baseline triceps skin-fold thickness at end of the trial|Change from baseline MAMA at end of the trial|Change from baseline percentage of peripheral O2 saturation at end of the trial|Change from baseline degree of body temperature at end of the trial|Change from baseline count the total leukocyte at end of the trial|Change from baseline differential lymphocytic count at end of the trial|Change from baseline Neutrophil count at end of the trial|Change from baseline neutrophil to lymphocyte ratio at end of the trial","King Saud University","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 4","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Supportive Care","ONS_COVID-19","April 1, 2020","October 1, 2020","October 30, 2020","March 26, 2020",,"March 27, 2020",,,"https://ClinicalTrials.gov/show/NCT04323228"
9,"NCT04335123","Study of Open Label Losartan in COVID-19",,"Recruiting","No Results Available","COVID-19","Drug: Losartan","Number of participants with treatment-related adverse events as assessed by protocol definition of AE|Number of days on supplemental oxygen in respiratory failure due to COVID-19|Incidence of mechanical ventilation use|Days on mechanical ventilation|Incidence of non-invasive positive pressure ventilation or heated high flow nasal cannula use|Days on non-invasive positive pressure ventilation or high flow nasal cannula|Incidence of transfer to ICU from non-ICU hospital bed|ICU length of stay (days)|30-day mortality rate|Hospital length of stay (days)|Cumulative incidence of severe adverse events|Cumulative incidence of adverse events|Change from baseline in oxygenation|Incidence of medications with possible antiviral activity (hydroxychloroquine, lopinavir/ritonavir, ribavirin or remdesivir) or adjunctive therapy use (e.g., tocilizumab)|Incidence (and length in days) of extracorporeal membrane oxygenation use|Incidence (and length in days) of renal replacement therapy use|Intolerance of high dose (50mg) losartan after tolerating 25mg","University of Kansas Medical Center","All","18 Years and older   (Adult, Older Adult)","Phase 1","50","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","STUDY00145514","March 25, 2020","September 2020","October 2020","April 6, 2020",,"April 6, 2020","University of Kansas Medical Center, Kansas City, Kansas, United States",,"https://ClinicalTrials.gov/show/NCT04335123"
10,"NCT04333420","Open-label, Randomized Study of IFX-1 in Patients With Severe COVID-19 Pneumonia","PANAMO","Recruiting","No Results Available","COVID-19 Pneumonia","Drug: Best supportive Care (BSC) + IFX-1|Drug: Best supportive care only","Change in PaO2/FiO2|Patients achieving early response","InflaRx GmbH","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","130","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IFX-1-P2.9","March 31, 2020","October 31, 2020","December 31, 2020","April 3, 2020",,"April 7, 2020","University Amsterdam, Amsterdam, Netherlands",,"https://ClinicalTrials.gov/show/NCT04333420"
11,"NCT04329611","ALBERTA HOPE COVID-19 for the Prevention of Severe COVID19 Disease",,"Not yet recruiting","No Results Available","COVID-19","Drug: Hydroxychloroquine","Composite of hospitalization, invasive mechanical ventilation or death within 30 days|mortality|Symptom duration|Disposition at 30 days defined as recovered, ongoing symptoms but not hospitalized, hospitalized, or deceased.","Dr. Michael Hill|University of Calgary","All","18 Years and older   (Adult, Older Adult)","Phase 3","1660","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","ABCOV-01 version 1.1","April 15, 2020","July 31, 2020","August 31, 2020","April 1, 2020",,"April 7, 2020","University of Calgary/Foothills Medical Centre, Calgary, Alberta, Canada",,"https://ClinicalTrials.gov/show/NCT04329611"
